Company Name,UID,Symbol,Alias,Headquarters,Description,Logo Url,Wiki Url,ISIN
AES Corporation,EQT-697C4C,AES,"AES Corporation, AES, AES Corp ","4300 Wilson Boulevard 11th Floor Arlington, VA 22203 United States","The AES Corporation operates as a diversified power generation and utility company.It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries.",https://en.wikipedia.org/wiki/File:AES_Corporation_(logo).svg,https://en.wikipedia.org/wiki/AES_Corporation,US00130H1059
Affiliated Managers Group Inc,EQT-2CC441,AMG,"Affiliated Managers Group Inc, Affiliated Managers Group","777 South Flagler Drive West Palm Beach, FL 33401 United States","Affiliated Managers Group Inc, through its affiliates, operates as an asset management company providing investment management services to mutual funds, institutional clients, and high net worth individuals in the United States. It offers quantitative, alternative, and fixed income products, and manages assets for foundations and endowments, defined benefit, and defined contribution plans for corporations and municipalities. ",https://en.wikipedia.org/wiki/File:Affiliated_Managers_Group_logo.png,https://en.wikipedia.org/wiki/Affiliated_Managers_Group,US0082521081
AFLAC Inc,EQT-E8A5CA,AFL,"AFLAC Inc, AFLAC, American Family Life Assurance Company","1932 Wynnton Road Columbus, GA 31999 United States","Aflac Incorporated provides voluntary supplemental health and life insurance products. The company underwrites a wide range of insurance policies, but is perhaps more known for its payroll deduction insurance coverage, which pays cash benefits when a policyholder has a covered accident or illness.",https://en.wikipedia.org/wiki/File:Aflac.svg,https://en.wikipedia.org/wiki/Aflac,US0010551028
Agilent Technologies Inc,EQT-7CBFB0,A,"Agilent Technologies Inc, Agilent Technologies","5301 Stevens Creek Boulevard Santa Clara, CA 95051 United States","Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide.  It operates through three segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab.",https://en.wikipedia.org/wiki/File:Agilent.svg,https://en.wikipedia.org/wiki/Agilent_Technologies,US00846U1016
Air Products & Chemicals Inc,EQT-ED5F50,APD,"Air Products and Chemicals Inc, Air Products and Chemicals","7201 Hamilton Boulevard Allentown, PA 18195 United States","Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage.",https://en.wikipedia.org/wiki/File:Logo_Air_Products.svg,https://en.wikipedia.org/wiki/Air_Products_%26_Chemicals,US0091581068
Akamai Technologies Inc,EQT-11AB6D,AKAM,"Akamai Technologies Inc, Akamai Technologies","150 Broadway Cambridge, MA 02142 United States","Akamai Technologies Inc is an American  content delivery network (CDN) and cloud service provider for delivering, optimizing, and securing content and business applications over the Internet in the United States and internationally.",https://en.wikipedia.org/wiki/File:Akamai_logo.svg,https://en.wikipedia.org/wiki/Akamai_Technologies,US00971T1016 
Alaska Air Group Inc,EQT-B7CCC9,ALK,"Alaska Air Group Inc, Alaska Air Group, Alaska Air","19300 International Boulevard Seattle, WA 98188 United States","Alaska Air Group Inc provides passenger and cargo air transportation services. The company operates through three segments: Mainline, Regional, and Horizon.",https://en.wikipedia.org/wiki/File:Alaska_Air_Group_logo.svg,https://en.wikipedia.org/wiki/Alaska_Air_Group,US0116591092
Albemarle Corp,EQT-15FAD8,ALB,"Albemarle Corporation, Albemarle, Albemarle Corp","4250 Congress Street Suite 900 Charlotte, NC 28209 United States","Albemarle Corporation is a specialty chemical manufacturing enterprise with leading positions in lithium, bromine and refining catalysts .",https://en.wikipedia.org/wiki/Albemarle_Corporation#/media/File:Albermarle_Corporation.svg,https://en.wikipedia.org/wiki/Albemarle_Corporation,US0126531013
Alexandria Real Estate Equities Inc,EQT-6F84B9,ARE,"Alexandria Real Estate Equities Inc, Alexandria Real Estate Equities","385 East Colorado Boulevard Suite 299 Pasadena, CA 91101 United States","Alexandria Real Estate Equities Inc is an urban office real estate investment trust (""REIT"") uniquely focused on collaborative life science and technology campuses in AAA innovation cluster locations.",https://media.licdn.com/dms/image/C4D0BAQH2TnYtIPtITA/company-logo_400_400/0?e=1565827200&v=beta&t=EZN2iFr30M9rB_hRdPvjA7NFou2kpVwBYRiOWJRjHz8,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,US0152711091
Alexion Pharmaceuticals Inc,EQT-3677FA,ALXN,"Alexion Pharmaceuticals Inc, Alexion Pharmaceuticals","121 Seaport Boulevard Boston, MA 02210 United States","Alexion Pharmaceuticals Inc is a biopharmaceutical company best known for its development of Soliris, a drug used to treat the rare disorders atypical hemolytic uremic syndrome (aHUS) and paroxysmal nocturnal hemoglobinuria (PNH).The company is also involved in immune system research related to autoimmune diseases.",https://en.wikipedia.org/wiki/File:Alexion_Pharmaceuticals_logo.svg,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals,US0153511094
Alibaba Group Holding Limited,EQT-8932B4,BABA,"Alibaba Group Holding Limited, Alibaba Group","No. 969 West Wen Yi Road[1], Yuhang District, Hangzhou, Zhejiang, China","Alibaba Group Holding Limited is a Chinese multinational conglomerate specializing in e-commerce, retail, Internet and technology. Founded April 4, 1999, the company provides consumer-to-consumer (C2C), business-to-consumer (B2C),and business-to-business (B2B) sales services via web portals, as well as electronic payment services, shopping search engines and cloud computing services. It owns and operates a diverse array of businesses around the world in numerous sectors, and is named as one of the world's most admired companies by Fortune.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/TaobaoCity_Alibaba_Xixi_Park.jpg/220px-TaobaoCity_Alibaba_Xixi_Park.jpg,https://en.wikipedia.org/wiki/Alibaba_Group,US01609W1027
Align Technology Inc,EQT-6D97A1,ALGN,"Align Technology Inc, Align Technology ","2820 Orchard Parkway San Jose, CA 95134 United States","Align Technology Inc is a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontics, and restorative and aesthetic dentistry worldwide. It operates in two segments, Clear Aligner; and Scanners and Services.",https://en.wikipedia.org/wiki/File:Align_Technology_logo_May2017.png,https://en.wikipedia.org/wiki/Align_Technology,US0162551016
Allegion PLC,EQT-C91CA6,ALLE,"Allegion PLC, Allegion","Iveagh Court Block D Harcourt Road Dublin,  2 Ireland","Allegion plc manufactures and sells mechanical and electronic security products and solutions worldwide. The company offers door closers and controls; doors and door systems; electronic security products; electronic, biometric and mobile access control systems; exit devices; locks, locksets, portable locks, and key systems; time, attendance, and workforce productivity systems; and other accessories. ",https://en.wikipedia.org/wiki/File:Allegion_logo.png,https://en.wikipedia.org/wiki/Allegion,IE00BFRT3W74
Allergan PLC,EQT-296265,AGN,"Allergan PLC, Allergan","Clonshaugh Business and Technology Park Coolock Dublin,  D17 E400 Ireland","Allergan plc, a pharmaceutical company, develops, manufactures, and commercializes branded pharmaceutical, device, biologic, surgical, and regenerative medicine products worldwide. The company operates in three segments: US Specialized Therapeutics, US General Medicine, and International. It offers a portfolio of products in various therapeutic areas, including medical aesthetics and dermatology, eye care, neuroscience, urology, gastrointestinal, women’s health, and anti-infective therapeutic products.",https://en.wikipedia.org/wiki/File:Allergan_plc_logo.svg,https://en.wikipedia.org/wiki/Allergan,IE00BY9D5467
Alliance Data Systems Corporation,EQT-30C2C5,ADS,"Alliance Data Systems Corporation, Alliance Data","7500 Dallas Parkway Suite 700 Plano, TX 75024 United States","Alliance Data Systems Corporation provides data-driven marketing and loyalty solutions worldwide. It operates through three segments: LoyaltyOne, Epsilon, and Card Services.",https://en.wikipedia.org/wiki/File:Alliance_Data_Systems_Logo.svg,https://en.wikipedia.org/wiki/Alliance_Data,US0185811082
Alliant Energy Corp,EQT-BDF102,LNT,"Alliant Energy Corp, Alliant Energy","4902 North Biltmore Lane Madison, WI 53718 United States","Alliant Energy Corporation operates as a utility holding company that operates through three segments :Electric, Gas, and Other.",https://en.wikipedia.org/wiki/File:Alliant_Energy_logo.svg,https://en.wikipedia.org/wiki/Alliant_Energy,US0188021085
Allstate Corp,EQT-6109BA,ALL,"Allstate Corp, Allstate","2775 Sanders Road Northbrook, IL 60062 United States","The Allstate Corporation, through its subsidiaries, provides property and casualty, and other insurance products.The company operates through Allstate Protection, Service Businesses, Allstate Life, and Allstate Benefits segments.",https://en.wikipedia.org/wiki/File:Allstate_logo.svg,https://en.wikipedia.org/wiki/Allstate,US0200021014
Alphabet Inc,EQT-2E77A2,GOOGL,"Alphabet Inc, Google Inc","1600 Amphitheatre Parkway Mountain View, CA 94043 United States","Alphabet Inc. operates as a holding company. The Company, through its subsidiaries, provides web-based search, advertisements, maps, software applications, mobile operating systems, consumer content, enterprise solutions, commerce, and hardware products.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Alphabet_Inc_Logo_2015.svg/220px-Alphabet_Inc_Logo_2015.svg.png,https://en.wikipedia.org/wiki/Alphabet_Inc.,US02079K3059
Altria Group Inc,EQT-F6C842,MO,"Altria Group Inc, Altria Group","6601 West Broad Street Richmond, VA 23230 United States","Altria Group Inc. through its subsidiaries, manufactures and sells cigarettes, smokeless products, and wine.",https://en.wikipedia.org/wiki/File:Altria_logo.svg,https://en.wikipedia.org/wiki/Altria,US02209S1033
Amazon.com Inc,EQT-A438AE,AMZN,"Amazon.com Inc, Amazon Inc, Amazon.com, Amazon","410 Terry Avenue North Seattle, WA 98109-5210 United States","""Amazon.com, Inc., doing business as Amazon (/ˈæməˌzɒn/), is an American electronic commerce and cloud computing company based in Seattle, Washington that was founded by Jeff Bezos on July 5, 1994. The tech giant is the largest Internet retailer in the world as measured by revenue and market capitalization, and second largest after Alibaba Group in terms of total sales.[3] The amazon.com website started as an online bookstore and later diversified to sell video downloads/streaming, MP3 downloads/streaming, audiobook downloads/streaming, software, video games, electronics, apparel, furniture, food, toys, and jewelry. The company also produces consumer electronics—Kindle e-readers, Fire tablets, Fire TV, and Echo—and is the world's largest provider of cloud infrastructure services (IaaS and PaaS).[4] Amazon also sells certain low-end products under its in-house brand AmazonBasics.Amazon has separate retail websites for the United States, the United Kingdom and Ireland, France, Canada, Germany, Italy, Spain, Netherlands, Australia, Brazil, Japan, China, India, and Mexico. In 2016, Dutch, Polish, and Turkish language versions of the German Amazon website were also launched.[5][6][7] Amazon also offers international shipping of some of its products to certain other countries.[8] In 2015, Amazon surpassed Walmart as the most valuable retailer in the United States by market capitalization.[9] Amazon is the fourth most valuable public company in the world, the largest Internet company by revenue in the world, and the eighth largest employer in the United States.[10] In 2017, Amazon acquired Whole Foods Market for $13.4 billion, which vastly increased Amazon's presence as a brick-and-mortar retailer.[11] The acquisition was interpreted by some as a direct attempt to challenge Walmart's traditional retail stores.[12] """,https://en.wikipedia.org/wiki/File:Amazon_logo_plain.svg,https://en.wikipedia.org/wiki/Amazon.com,US0231351067
Ameren Corp,EQT-CC5370,AEE,"Ameren Corp, Ameren","1901 Chouteau Avenue St. Louis, MO 63103 United States","Ameren Corporation is an American power company that operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. ",https://en.wikipedia.org/wiki/File:Ameren_Logo.png,https://en.wikipedia.org/wiki/Ameren,US0236081024
American Airlines Group Inc,EQT-29CECE,AAL,"American Airlines Group Inc, American Airlines Group","4333 Amon Carter Boulevard Fort Worth, TX 76155 United States",American Airlines Group Inc. operates as a network air carrier which provides scheduled air transportation services for passengers and cargo.,https://en.wikipedia.org/wiki/File:American_Airlines_logo_2013.svg,https://en.wikipedia.org/wiki/American_Airlines_Group,US02376R1023
American Electric Power Company Inc,EQT-BD9864,AEP,"American Electric Power Company Inc, American Electric Power Company","1 Riverside Plaza Columbus, OH 43215 United States","American Electric Power Company Inc. engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States.",https://en.wikipedia.org/wiki/File:AEP_logo.svg,https://en.wikipedia.org/wiki/American_Electric_Power,US0255371272
American Express Company,EQT-982449,AXP,"American Express Company, American Express, AmEx","200 Vesey Street New York, NY 10285 United States",American Express Company is a global payment and travel company. The Company's principal products and services are charge and credit payment card products and travel-related services offered to consumers and businesses around the world.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/American_Express_logo_%282018%29.svg/150px-American_Express_logo_%282018%29.svg.png,https://en.wikipedia.org/wiki/American_Express,US0258161092
American International Group Inc,EQT-D75E78,AIG,"American International Group Inc, American International Group, AIG","175 Water Street New York, NY 10038 United States","American International Group Inc. provides a range of insurance products to support our clients in business and in life, including: general property/casualty, life insurance, and retirement and financial services through our General Insurance, Life and Retirement and Investments business units.",https://en.wikipedia.org/wiki/File:AIG_logo.svg,https://en.wikipedia.org/wiki/American_International_Group,US0268747849
American Tower Corporation,EQT-1AF911,AMT,"American Tower Corporation, American Tower Corp, American Tower, ATC","116 Huntington Avenue 11th Floor Boston, MA 02116 United States","American Tower Corporation is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio.",https://en.wikipedia.org/wiki/File:American_Tower_Corporation_logo.svg,https://en.wikipedia.org/wiki/American_Tower,US03027X1000
American Water Works Company Inc,EQT-4C6C9D,AWK,"American Water Works Company Inc, American Water Works Company","1 Water Street Camden, NJ 08102 United States","American Water Works Company Inc. through its subsidiaries, provides water and wastewater services.",https://en.wikipedia.org/wiki/File:American_Water_(company)_Logo.svg,https://en.wikipedia.org/wiki/American_Water_Works,US0304201033
Ameriprise Financial Inc,EQT-28012F,AMP,"Ameriprise Financial Inc, Ameriprise Financial","55 Ameriprise Financial Center Minneapolis, MN 55474 United States","Ameriprise Financial Inc. provides various financial products and services to individual and institutional clients . The company operates through five segments: Advice & Wealth Management, Asset Management, Annuities, Protection, and Corporate & Other.",https://en.wikipedia.org/wiki/File:Ameriprise_Financial_logo.svg,https://en.wikipedia.org/wiki/Ameriprise_Financial,US03076C1062
Amerisource Bergen Corporation,EQT-663DF0,ABC,"Amerisource Bergen Corporation, Amerisource Bergen Corp","1300 Morris Drive Chesterbrook, PA 19087 United States",AmerisourceBergen Corporation sources and distributes pharmaceutical products.The company’s Other segment provides integrated manufacturer services.,https://en.wikipedia.org/wiki/File:AmerisourceBergen_logo.svg,https://en.wikipedia.org/wiki/AmerisourceBergen,US03073E1055
AMETEK Inc,EQT-BD8CF4,AME,"AMETEK Inc, AMETEK","1100 Cassatt Road Berwyn, PA 19312 United States","AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices. ",https://en.wikipedia.org/wiki/File:Ametek_Logo.svg,https://en.wikipedia.org/wiki/Ametek,US0311001004
Amgen Inc,EQT-75566F,AMGN,"Amgen Inc, Amgen","One Amgen Center Drive Thousand Oaks, CA 91320 United States","Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics. It offers products for the treatment of oncology/hematology, cardiovascular, inflammation, bone health, and neuroscience.",https://en.wikipedia.org/wiki/File:Amgen.svg,https://en.wikipedia.org/wiki/Amgen,US0311621009
Amphenol Corporation,EQT-809FDC,APH,"Amphenol Corporation, Amphenol Corp","358 Hall Avenue PO Box 5030 Wallingford, CT 06492 United States","Amphenol Corporation, with its subsidiaries, primarily designs, manufactures, and markets electrical, electronic, and fiber optic connectors worldwide. It operates through two segments, Interconnect Products and Assemblies, and Cable Products and Solutions. ",https://en.wikipedia.org/wiki/File:Logo_Amphenol.svg,https://en.wikipedia.org/wiki/Amphenol,US0320951017
Anadarko Petroleum Corporation,EQT-3C424B,APC,"Anadarko Petroleum Corporation, Anadarko Petroleum Corp, Anadarko Petroleum","1201 Lake Robbins Drive The Woodlands, TX 77380 United States","Anadarko Petroleum Corporation engages in the exploration, development, production, and marketing of oil and gas properties. The company explores for and produces oil, natural gas, and natural gas liquids (NGLs).",https://en.wikipedia.org/wiki/File:Anadarko_Petroleum_Logo.svg,https://en.wikipedia.org/wiki/Anadarko_Petroleum,US0325111070
Analog Devices Inc,EQT-99E6DA,ADI,"Analog Devices Inc, Analog Devices","One Technology Way PO Box 9106 Norwood, MA 02062 United States","Analog Devices Inc. is a semiconductor company specializing in data conversion, signal processing and power management technology.
The company manufactures analog, mixed-signal and digital signal processing integrated circuits used in electronic equipment.",https://en.wikipedia.org/wiki/File:Analog_Devices_Logo.svg,https://en.wikipedia.org/wiki/Analog_Devices,US0326541051
ANSYS Inc,EQT-83EDB4,ANSS,"ANSYS Inc, ANSYS Incorporated","2600 ANSYS Drive Canonsburg, PA 15317 United States","Ansys Inc.develops and markets engineering simulation software. The company' software is used to design products and semiconductors, as well as to create simulations that test a product's durability, temperature distribution, fluid movements, and electromagnetic properties.",https://en.wikipedia.org/wiki/File:ANSYS_logo_without-blur.png,https://en.wikipedia.org/wiki/Ansys,US03662Q1058 
Anthem Inc,EQT-37A857,ANTM,"Anthem Inc, Anthem","220 Virginia Avenue Indianapolis, IN 46204 United States","Anthem Inc.,a health insurance company ,is the largest for-profit managed health care company in the Blue Cross and Blue Shield Association, which operates through three segments: Commercial & Specialty Business, Government Business, and Other. ","https://en.wikipedia.org/wiki/File:Anthem,_Inc._Logo.svg",https://en.wikipedia.org/wiki/Anthem_(company),US0367521038
Aon plc,EQT-9AD280,AON,"Aon plc, Aon","The Leadenhall Building The Aon Centre 122 Leadenhall Street London,  EC3V 4AN United Kingdom","Aon plc provides risk, retirement and health consulting. The company also offers commercial risk solutions, including retail brokerage, cyber, and global risk consulting solutions, as well as acts as a captive insurance provider; and health solutions, such as health and benefits brokerages, and health care exchanges.",https://en.wikipedia.org/wiki/File:Aon_Corporation_logo.svg,https://en.wikipedia.org/wiki/Aon_(company),GB00B5BT0K07
Apache Corporation,EQT-FBA1F8,APA,"Apache Corporation, Apache Corp","One Post Oak Central Suite 100 2000 Post Oak Boulevard Houston, TX 77056 United States",,https://en.wikipedia.org/wiki/File:ApacheLogo.svg,https://en.wikipedia.org/wiki/Apache_Corporation,US0374111054
Apartment Investment & Management Company,EQT-D08D22,AIV,"Apartment Investment & Management Company, Apartment Investment and Management Company, AIMCO","4582 South Ulster Street Suite 1100 Denver, CO 80237 United States",Aimco is a publicly traded real estate investment trust focused on the ownership and management of quality apartment communities.,https://en.wikipedia.org/wiki/File:Aimco_Logo.PNG,https://en.wikipedia.org/wiki/Aimco,US03748R1014
Apple Inc,EQT-E3FB65,AAPL,"Apple Inc, Apple Computer Inc, Apple Computer Company","Apple Park 1 Apple Park Way Cupertino California, U.S.","Apple Inc. is an American multinational technology company headquartered in Cupertino, California that designs, develops, and sells consumer electronics, computer software, and online services. The company's hardwareproducts include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, the Apple TV digital media player, and the HomePod smart speaker. Apple's software includes the macOS and iOS operating systems, the iTunes media player, the Safari web browser, and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store and Mac App Store, Apple Music, and iCloud.",https://en.wikipedia.org/wiki/File:Apple_logo_black.svg,https://en.wikipedia.org/wiki/Apple_Inc.,US0378331005
Applied Materials Inc,EQT-9CECD9,AMAT,"Applied Materials Inc, Applied Materials","3050 Bowers Avenue PO Box 58039 Santa Clara, CA 95052 United States","Applied Materials, Inc., supplies equipment, services and software to enable the manufacture of semiconductor  chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications.",https://en.wikipedia.org/wiki/File:Applied_Materials_Inc._Logo.svg,https://en.wikipedia.org/wiki/Applied_Materials,US0382221051
Aptiv PLC,EQT-5C8538,APTV,"Aptiv PLC, Aptiv","5 Hanover Quay Grand Canal Dock Dublin,  2 Ireland","Aptive PLC is a global auto parts company that designs and manufacturers vehicle components, and provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets.It operates through two segment, Signal and Power Solutions, and Advanced Safety and User Experience.",https://en.wikipedia.org/wiki/File:Aptiv_logo.svg,https://en.wikipedia.org/wiki/Aptiv,JE00B783TY65
Archer Daniels Midland Company,EQT-5B3F50,ADM,"Archer Daniels Midland Company, ADM","77 West Wacker Drive Suite 4600 Chicago, IL 60601 United States","Archer Daniels Midland Company is a global food processing and commodities trading corporation.The company operates through four segments: Origination, Oilseeds, Carbohydrate Solutions, and Nutrition.",https://en.wikipedia.org/wiki/File:Archer_Daniels_Midland_(logo).svg,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,US0394831020
Arconic Inc,EQT-08776D,ARNC,"Arconic Inc, Arconic","390 Park Avenue New York, NY 10022 United States","Arconic Inc is specializing in lightweight metals engineering and manufacturing. The company' products include aluminum, titanium, and nickel, are used worldwide in aerospace, automotive, commercial transportation, packaging, building and construction,[6] oil and gas, defense, consumer electronics, and industrial applications",https://en.wikipedia.org/wiki/File:Arconic_logo_(horizontal).svg,https://en.wikipedia.org/wiki/Arconic,US03965L1008
Arista Networks Inc,EQT-B07563,ANET,"Arista Networks Inc, Arista Networks","5453 Great America Parkway Santa Clara, CA 95054 United States","Arista Networks, Inc. company designs and sells multilayer network switches to deliver software-defined networking  solutions for large datacenter, cloud computing, high-performance computing and high-frequency trading environments.",https://en.wikipedia.org/wiki/File:Arista-networks-logo.jpg,https://en.wikipedia.org/wiki/Arista_Networks,US0404131064
Arthur J. Gallagher & Co.,EQT-F08748,AJG,"Arthur J. Gallagher & Co., Arthur J. Gallagher and Co.","2850 Golf Road Rolling Meadows, IL 60008 United States","Arthur J. Gallagher & Co. with its subsidiaries, provides insurance brokerage, consulting, and third party claims settlement and administration services to entities in the United States and internationally. ",https://en.wikipedia.org/wiki/File:Arthur_J._Gallagher_%26_Co._logo.svg,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,US3635761097
Assurant Inc,EQT-7EE62D,AIZ,"Assurant Inc, Assurant","28 Liberty Street 41st Floor New York, NY 10005 United States","Assurant, Inc. is a global provider of risk management products and services. The company’s three operating segments are Global Housing, Global Lifestyle, and Global Preneed.",https://en.wikipedia.org/wiki/File:Assurant_logo.svg,https://en.wikipedia.org/wiki/Assurant,US04621X1081
AT&T Inc,EQT-05A894,T,"AT&T Inc, AT&T, ATandT","208 South Akard Street Dallas, TX 75202 United States","AT&T Inc. is an American multinational conglomerate holding company that provides telecommunication, media, and technology services worldwide. ",https://en.wikipedia.org/wiki/File:AT%26T_logo_2016.svg,https://en.wikipedia.org/wiki/AT%26T,US00206R1023
Atmos Energy Corporation,EQT-A642F6,ATO,"Atmos Energy Corporation, Atmos Energy Corp","Three Lincoln Centre Suite 1800 5430 LBJ Freeway Dallas, TX 75240 United States","Atmos Energy Corporation engages in the regulated natural gas distribution, and pipeline and storage businesses. The company also manages company-owned natural gas pipeline and storage assets.",https://en.wikipedia.org/wiki/File:Atmos_energy_logo.png,https://en.wikipedia.org/wiki/Atmos_Energy,US0495601058
